date,ticker,amount_usd,price,shares,strategy
2024-10-01,AAPL,2000.0,225.162109375,8.882489178803466,Lump_then_DCA
2024-10-01,AMZN,2000.0,185.1300048828125,10.80321907443368,Lump_then_DCA
2024-10-01,BTC-USD,4000.0,60837.0078125,0.06574945323294043,Lump_then_DCA
2024-10-01,ETH-USD,3000.0,2448.921142578125,1.2250292375040388,Lump_then_DCA
2024-10-01,GOOGL,2000.0,166.25680541992188,12.029582758723862,Lump_then_DCA
2024-10-01,MSFT,2000.0,417.55523681640625,4.78978545509028,Lump_then_DCA
2024-10-01,NVDA,5000.0,116.96646118164062,42.74729652832152,Lump_then_DCA
2024-10-31,AAPL,250.0,224.86349487304688,1.1117856197207316,Lump_then_DCA
2024-10-31,AMZN,250.0,186.39999389648438,1.3412017606547526,Lump_then_DCA
2024-10-31,BTC-USD,500.0,70215.1875,0.007120966528786952,Lump_then_DCA
2024-10-31,ETH-USD,375.0,2515.79931640625,0.14905799423448338,Lump_then_DCA
2024-10-31,GOOGL,250.0,170.35870361328125,1.467491796412742,Lump_then_DCA
2024-10-31,MSFT,250.0,403.3220520019531,0.6198520481562693,Lump_then_DCA
2024-10-31,NVDA,625.0,132.72193908691406,4.709093344324284,Lump_then_DCA
2024-11-29,AAPL,250.0,236.49046325683594,1.057125080466743,Lump_then_DCA
2024-11-29,AMZN,250.0,207.88999938964844,1.2025590491797769,Lump_then_DCA
2024-11-29,GOOGL,250.0,168.2082061767578,1.4862532909797106,Lump_then_DCA
2024-11-29,MSFT,250.0,421.1458435058594,0.5936185857109658,Lump_then_DCA
2024-11-29,NVDA,625.0,138.2103729248047,4.522091842846268,Lump_then_DCA
2024-11-30,BTC-USD,500.0,96449.0546875,0.005184083987344679,Lump_then_DCA
2024-11-30,ETH-USD,375.0,3705.705322265625,0.10119531030889671,Lump_then_DCA
2024-12-31,AAPL,250.0,249.53416442871094,1.0018668208113128,Lump_then_DCA
2024-12-31,AMZN,250.0,219.38999938964844,1.1395232266534927,Lump_then_DCA
2024-12-31,BTC-USD,500.0,93429.203125,0.0053516457732283584,Lump_then_DCA
2024-12-31,ETH-USD,375.0,3332.53173828125,0.11252706034043831,Lump_then_DCA
2024-12-31,GOOGL,250.0,188.68484497070312,1.3249606773602682,Lump_then_DCA
2024-12-31,MSFT,250.0,419.1965637207031,0.5963789344575038,Lump_then_DCA
2024-12-31,NVDA,625.0,134.26075744628906,4.65512046772141,Lump_then_DCA
2025-01-31,AAPL,250.0,235.16519165039062,1.0630825006264686,Lump_then_DCA
2025-01-31,AMZN,250.0,237.67999267578125,1.051834431604954,Lump_then_DCA
2025-01-31,BTC-USD,500.0,102405.0234375,0.004882572975584159,Lump_then_DCA
2025-01-31,ETH-USD,375.0,3298.26513671875,0.11369613553053089,Lump_then_DCA
2025-01-31,GOOGL,250.0,203.35702514648438,1.2293649546649164,Lump_then_DCA
2025-01-31,MSFT,250.0,412.791748046875,0.6056322617466932,Lump_then_DCA
2025-01-31,NVDA,625.0,120.04385375976562,5.206430653673978,Lump_then_DCA
2025-02-28,AAPL,250.0,241.24948120117188,1.036271658514081,Lump_then_DCA
2025-02-28,AMZN,250.0,212.27999877929688,1.177689850375022,Lump_then_DCA
2025-02-28,BTC-USD,500.0,84373.0078125,0.005926065846925089,Lump_then_DCA
2025-02-28,ETH-USD,375.0,2237.9052734375,0.16756741424715757,Lump_then_DCA
2025-02-28,GOOGL,250.0,169.72665405273438,1.472956627792383,Lump_then_DCA
2025-02-28,MSFT,250.0,395.6121520996094,0.6319320543446139,Lump_then_DCA
2025-02-28,NVDA,625.0,124.89279174804688,5.004292011190262,Lump_then_DCA
2025-03-31,AAPL,250.0,221.58761596679688,1.1282218950244065,Lump_then_DCA
2025-03-31,AMZN,250.0,190.25999450683594,1.3139914181539496,Lump_then_DCA
2025-03-31,BTC-USD,500.0,82548.9140625,0.006057014870255429,Lump_then_DCA
2025-03-31,ETH-USD,375.0,1823.47998046875,0.2056507359645381,Lump_then_DCA
2025-03-31,GOOGL,250.0,154.31500244140625,1.6200628328080127,Lump_then_DCA
2025-03-31,MSFT,250.0,374.087158203125,0.6682934565325359,Lump_then_DCA
2025-03-31,NVDA,625.0,108.36636352539062,5.76747230106656,Lump_then_DCA
2025-04-30,AAPL,250.0,211.9811248779297,1.1793502848141015,Lump_then_DCA
2025-04-30,AMZN,250.0,184.4199981689453,1.3556013582159214,Lump_then_DCA
2025-04-30,BTC-USD,500.0,94207.3125,0.005307443623338687,Lump_then_DCA
2025-04-30,ETH-USD,375.0,1793.775390625,0.2090562742469891,Lump_then_DCA
2025-04-30,GOOGL,250.0,158.4662628173828,1.5776228678283468,Lump_then_DCA
2025-04-30,MSFT,250.0,393.88818359375,0.6346978924806894,Lump_then_DCA
2025-04-30,NVDA,625.0,108.90629577636719,5.738878506008519,Lump_then_DCA
2025-05-30,AAPL,250.0,200.622314453125,1.24612259947989,Lump_then_DCA
2025-05-30,AMZN,250.0,205.00999450683594,1.2194527422986878,Lump_then_DCA
2025-05-30,GOOGL,250.0,171.37905883789062,1.458754655879385,Lump_then_DCA
2025-05-30,MSFT,250.0,459.60443115234375,0.5439460176073307,Lump_then_DCA
2025-05-30,NVDA,625.0,135.11300659179688,4.625757473432952,Lump_then_DCA
2025-05-31,BTC-USD,500.0,104638.09375,0.00477837451047793,Lump_then_DCA
2025-05-31,ETH-USD,375.0,2529.08740234375,0.1482748281662709,Lump_then_DCA
2025-06-30,AAPL,250.0,204.93740844726562,1.2198846559745087,Lump_then_DCA
2025-06-30,AMZN,250.0,219.38999938964844,1.1395232266534927,Lump_then_DCA
2025-06-30,BTC-USD,500.0,107135.3359375,0.004666994279942214,Lump_then_DCA
2025-06-30,ETH-USD,375.0,2486.46435546875,0.15081655973680938,Lump_then_DCA
2025-06-30,GOOGL,250.0,176.07252502441406,1.419869454165749,Lump_then_DCA
2025-06-30,MSFT,250.0,496.5936584472656,0.5034297070600793,Lump_then_DCA
2025-06-30,NVDA,625.0,157.98109436035156,3.956169581750004,Lump_then_DCA
2025-07-31,AAPL,250.0,207.33470153808594,1.2057798243391338,Lump_then_DCA
2025-07-31,AMZN,250.0,234.11000061035156,1.0678740735048542,Lump_then_DCA
2025-07-31,BTC-USD,500.0,115758.203125,0.004319348318322473,Lump_then_DCA
2025-07-31,ETH-USD,375.0,3696.707763671875,0.1014416134499956,Lump_then_DCA
2025-07-31,GOOGL,250.0,191.728515625,1.303927061579993,Lump_then_DCA
2025-07-31,MSFT,250.0,532.6243896484375,0.4693739243991704,Lump_then_DCA
2025-07-31,NVDA,625.0,177.85997009277344,3.514000365984511,Lump_then_DCA
2025-08-29,AAPL,250.0,232.13999938964844,1.0769363343556033,Lump_then_DCA
2025-08-29,AMZN,250.0,229.0,1.091703056768559,Lump_then_DCA
2025-08-29,GOOGL,250.0,212.71974182128906,1.175255281242448,Lump_then_DCA
2025-08-29,MSFT,250.0,506.69000244140625,0.49339832796268773,Lump_then_DCA
2025-08-29,NVDA,625.0,174.170166015625,3.5884446475404435,Lump_then_DCA
2025-08-31,BTC-USD,500.0,108236.7109375,0.004619504747226836,Lump_then_DCA
2025-08-31,ETH-USD,375.0,4390.01904296875,0.08542104176076792,Lump_then_DCA
2025-09-30,AAPL,250.0,254.6300048828125,0.9818167348936613,Lump_then_DCA
